Type;ESL-3;
Version;1.83 SP4;
Date;15.May 19;
Mode;ANALYZER;
Center Freq;1500000000.000000;Hz
Freq Offset;0.000000;Hz
Span;3000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;SAMPLE;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Values;501;
0;-1.2535052299499512;
6000000;-1.4971200227737427;
12000000;-1.4002991914749146;
18000000;-1.420457124710083;
24000000;-1.4243659973144531;
30000000;-1.4361202716827393;
36000000;-1.4278597831726074;
42000000;-1.4321358203887939;
48000000;-1.4502377510070801;
54000000;-1.4782106876373291;
60000000;-1.5028085708618164;
66000000;-1.5148687362670898;
72000000;-1.5045745372772217;
78000000;-1.4760315418243408;
84000000;-1.4418920278549194;
90000000;-1.4306881427764893;
96000000;-1.4012295007705688;
102000000;-1.4744737148284912;
108000000;-1.5127685070037842;
114000000;-1.524221658706665;
120000000;-1.4952359199523926;
126000000;-1.4357002973556519;
132000000;-1.3511011600494385;
138000000;-1.2869498729705811;
144000000;-1.2668498754501343;
150000000;-1.3069767951965332;
156000000;-1.356737494468689;
162000000;-1.4817750453948975;
168000000;-1.5341854095458984;
174000000;-1.5093444585800171;
180000000;-1.4207304716110229;
186000000;-1.3197556734085083;
192000000;-1.2271534204483032;
198000000;-1.1881320476531982;
204000000;-1.1742153167724609;
210000000;-1.1762033700942993;
216000000;-1.166110634803772;
222000000;-1.1155328750610352;
228000000;-1.0323458909988403;
234000000;-0.93554031848907471;
240000000;-0.85168951749801636;
246000000;-0.81388819217681885;
252000000;-0.8224678635597229;
258000000;-1.0412269830703735;
264000000;-1.1384931802749634;
270000000;-1.1413582563400269;
276000000;-1.0966755151748657;
282000000;-1.0241308212280273;
288000000;-0.94365966320037842;
294000000;-0.8848947286605835;
300000000;-0.87462067604064941;
306000000;-0.8940131664276123;
312000000;-0.90728282928466797;
318000000;-0.88012641668319702;
324000000;-0.82850605249404907;
330000000;-0.89401572942733765;
336000000;-0.87437164783477783;
342000000;-0.86711949110031128;
348000000;-0.8648984432220459;
354000000;-0.88873076438903809;
360000000;-0.89874613285064697;
366000000;-0.89887261390686035;
372000000;-0.85391736030578613;
378000000;-0.78180396556854248;
384000000;-0.71081012487411499;
390000000;-0.67463409900665283;
396000000;-0.72135752439498901;
402000000;-0.83693063259124756;
408000000;-0.9714500904083252;
414000000;-1.0695217847824097;
420000000;-1.0827804803848267;
426000000;-1.0060900449752808;
432000000;-0.8539729118347168;
438000000;-0.68118822574615479;
444000000;-0.57518202066421509;
450000000;-0.60531097650527954;
456000000;-0.83563750982284546;
462000000;-1.0032576322555542;
468000000;-1.1067975759506226;
474000000;-1.1104514598846436;
480000000;-1.0307984352111816;
486000000;-0.93463784456253052;
492000000;-0.89623463153839111;
498000000;-0.95660281181335449;
504000000;-1.0665271282196045;
510000000;-1.2098314762115479;
516000000;-1.2959375381469727;
522000000;-1.2869881391525269;
528000000;-1.1833621263504028;
534000000;-1.0464046001434326;
540000000;-0.95897608995437622;
546000000;-1.045526385307312;
552000000;-1.2460439205169678;
558000000;-1.4916373491287231;
564000000;-1.6554590463638306;
570000000;-1.7014753818511963;
576000000;-1.6162371635437012;
582000000;-1.4323761463165283;
588000000;-1.2670916318893433;
594000000;-1.2187108993530273;
600000000;-1.3221662044525146;
606000000;-1.5235573053359985;
612000000;-1.7180914878845215;
618000000;-1.8349933624267578;
624000000;-1.9125804901123047;
630000000;-1.8065248727798462;
636000000;-1.624531626701355;
642000000;-1.4415804147720337;
648000000;-1.4088139533996582;
654000000;-1.513099193572998;
660000000;-1.6268893480300903;
666000000;-1.6642578840255737;
672000000;-1.5928703546524048;
678000000;-1.4446080923080444;
684000000;-1.3160154819488525;
690000000;-1.3064836263656616;
696000000;-1.4822362661361694;
702000000;-1.8751770257949829;
708000000;-2.2221095561981201;
714000000;-2.4312283992767334;
720000000;-2.4527263641357422;
726000000;-2.3185319900512695;
732000000;-2.0614738464355469;
738000000;-1.7640076875686646;
744000000;-1.5603936910629272;
750000000;-1.490739107131958;
756000000;-1.5288877487182617;
762000000;-1.5818264484405518;
768000000;-1.5958503484725952;
774000000;-1.5626232624053955;
780000000;-1.5359585285186768;
786000000;-1.5983082056045532;
792000000;-1.7902532815933228;
798000000;-2.0521235466003418;
804000000;-2.3123433589935303;
810000000;-2.4789378643035889;
816000000;-2.5050256252288818;
822000000;-2.3901140689849854;
828000000;-2.264150857925415;
834000000;-2.1527061462402344;
840000000;-2.2519989013671875;
846000000;-2.5876009464263916;
852000000;-3.0067112445831299;
858000000;-3.4092435836791992;
864000000;-3.670196533203125;
870000000;-3.7703926563262939;
876000000;-3.7242164611816406;
882000000;-3.5955493450164795;
888000000;-3.4411823749542236;
894000000;-3.341780424118042;
900000000;-3.3165855407714844;
906000000;-3.3759479522705078;
912000000;-3.5728988647460937;
918000000;-4.0694842338562012;
924000000;-4.9724416732788086;
930000000;-6.2758340835571289;
936000000;-7.6944417953491211;
942000000;-8.9627017974853516;
948000000;-9.9457674026489258;
954000000;-10.609157562255859;
960000000;-10.960161209106445;
966000000;-10.969405174255371;
972000000;-10.691547393798828;
978000000;-10.150844573974609;
984000000;-9.5123252868652344;
